fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230424 232126	-0.151368609090579	338.270900087722	49.3823209577584	6	5	44343000	138
20230424 232144	-0.513996507668374	1124.01475744325	561.498538150675	12	5	42774000	139
20230424 232200	-0.126867616065356	1088.1626236072	2.5282276553121	9	5	51594000	140
20230424 232216	-0.120117184036573	5777.05010834617	2884.65305421003	10	5	41973000	141
20230424 232232	-0.999972371866974	7488.98665572488	1700.87083454205	15	5	41238000	142
20230424 232251	-0.581901428826136	1033.94333128522	1.42633181326195	12	5	52056000	143
20230424 232301	-0.256838785254293	7999.84106607434	1.77187014025059	3	5	45309000	144
20230424 232322	-0.530359030874425	2014.22136275411	1.2957383876454	15	5	49272000	145
20230424 232339	-0.999987674008136	5746.87615038992	1583.35314330503	20	5	41463000	146
20230424 232404	-0.539594288585619	2404.91410202298	1.08376269864318	19	5	46623000	147
20230424 232427	-0.551016660857028	5612.97242129661	1.18729835468287	18	5	41679000	148
20230424 232452	-0.999982758979116	2560.17603059942	4.02993784862785	19	5	44301000	149
20230424 232508	-0.299792649753571	661.747853064759	2.12800211039209	9	5	51672000	150
20230424 232523	-0.117684032869108	2240.26798565437	4.05697158803404	9	5	49791000	151
20230424 232537	-0.824299107479916	2201.40617393316	3.12690288311562	7	5	45909000	152
20230424 232551	-0.999894350149973	5866.4911360476	1120.13720116756	7	5	41694000	153
20230424 232609	-0.862150364445923	2921.95651349325	1460.12589366274	20	5	42231000	154
20230424 232629	-0.305301562828751	1668.42584818447	1.6640177565867	12	5	50286000	155
20230424 232638	-0.31709924914631	6854.19073569622	964.700249617156	3	5	47655000	156
20230424 232701	-0.14582769915534	6105.69698381501	1.31605337777244	20	5	42006000	157
20230424 232726	-0.311556397484966	3697.93281106956	1.82728470939145	20	5	45453000	158
20230424 232746	-0.132476410926163	5292.12488203357	5.22872206933718	14	5	39549000	159
20230424 232755	-0.307299555862951	1146.22960272637	1.25677310543506	3	5	45630000	160
20230424 232813	-0.545101146895119	1838.80843342879	1.26414349504522	11	5	49119000	161
20230424 232829	-0.999885757279671	6104.78631008958	2046.10620109775	11	5	42249000	162
20230424 232851	-0.309589048791552	2405.06644314493	1.37851144351091	15	5	48249000	163
20230424 232906	-0.601206225447487	7998.95313674282	3998.84632115424	11	5	39627000	164
20230424 232920	-0.0864580703340959	7992.03127337799	3991.93193133751	14	5	39627000	165
20230424 232930	-0.999981134040653	4885.46472194682	797.740980411821	3	5	47655000	166
